order_id,date,store_id,product_id,qty,amount,payment
ORD100001,2026-05-01,S01,P20,1,22.00,微信
ORD100002,2026-05-01,S02,P20,1,22.00,支付宝
ORD100003,2026-05-01,S05,P16,3,15.00,支付宝
ORD100004,2026-05-01,S05,P08,2,50.00,微信
ORD100005,2026-05-01,S05,P04,3,114.00,支付宝
ORD100006,2026-05-01,S04,P04,2,76.00,微信
ORD100007,2026-05-01,S04,P07,2,44.00,银行卡
ORD100008,2026-05-01,S02,P20,1,22.00,现金
ORD100009,2026-05-01,S02,P07,1,22.00,微信
ORD100010,2026-05-01,S04,P01,3,96.00,支付宝
ORD100011,2026-05-01,S02,P15,1,6.00,会员储值
ORD100012,2026-05-01,S01,P19,2,30.00,微信
ORD100013,2026-05-01,S01,P16,3,15.00,银行卡
ORD100014,2026-05-01,S02,P07,2,44.00,银行卡
ORD100015,2026-05-01,S05,P02,2,60.00,支付宝
ORD100017,2026-05-01,S03,P15,3,18.00,银行卡
ORD100018,2026-05-01,S01,P03,1,26.00,支付宝
ORD100019,2026-05-01,S04,P20,3,66.00,微信
ORD100020,2026-05-01,S01,P04,1,38.00,微信
ORD100021,2026-05-01,S03,P08,1,25.00,现金
ORD100022,2026-05-01,S03,P15,1,6.00,会员储值
ORD100023,2026-05-01,S02,P16,1,5.00,银行卡
ORD100024,2026-05-01,S03,P06,1,42.00,会员储值
ORD100025,2026-05-01,S02,P11,2,52.00,会员储值
ORD100026,2026-05-01,S03,P20,1,22.00,现金
ORD100027,2026-05-01,S05,P05,1,34.00,微信
ORD100028,2026-05-01,S02,P11,1,26.00,银行卡
ORD100029,2026-05-01,S04,P16,1,5.00,现金
ORD100030,2026-05-01,S03,P06,1,42.00,会员储值
ORD100031,2026-05-01,S01,P15,1,6.00,支付宝
ORD100032,2026-05-01,S04,P12,1,8.00,微信
ORD100033,2026-05-01,S05,P06,1,42.00,银行卡
ORD100034,2026-05-01,S04,P07,2,44.00,银行卡
ORD100035,2026-05-01,S01,P01,1,32.00,微信
ORD100036,2026-05-01,S03,P01,1,32.00,现金
ORD100037,2026-05-01,S05,P16,2,10.00,支付宝
ORD100038,2026-05-01,S03,P16,1,5.00,微信
ORD100039,2026-05-01,S05,P07,3,66.00,现金
ORD100040,2026-05-01,S04,P18,1,18.00,银行卡
ORD100041,2026-05-01,S03,P03,1,26.00,微信
ORD100042,2026-05-01,S04,P05,1,34.00,会员储值
ORD100043,2026-05-01,S03,P10,2,48.00,会员储值
ORD100044,2026-05-01,S04,P03,1,26.00,银行卡
ORD100045,2026-05-01,S03,P17,2,24.00,微信
ORD100046,2026-05-01,S01,P17,1,12.00,银行卡
ORD100047,2026-05-01,S02,P19,2,30.00,微信
ORD100048,2026-05-01,S04,P01,1,32.00,支付宝
ORD100049,2026-05-01,S02,P20,2,44.00,现金
ORD100050,2026-05-01,S01,P01,1,32.00,微信
ORD100051,2026-05-01,S01,P17,1,12.00,会员储值
ORD100052,2026-05-01,S01,P15,2,12.00,银行卡
ORD100053,2026-05-01,S02,P09,3,54.00,微信
ORD100054,2026-05-01,S01,P07,1,22.00,会员储值
ORD100055,2026-05-01,S01,P12,2,16.00,支付宝
ORD100056,2026-05-01,S05,P06,1,42.00,现金
ORD100057,2026-05-01,S03,P04,1,38.00,现金
ORD100058,2026-05-01,S02,P07,1,22.00,现金
ORD100059,2026-05-01,S03,P09,3,54.00,银行卡
ORD100060,2026-05-01,S03,P01,1,32.00,支付宝
ORD100061,2026-05-01,S01,P13,1,20.00,微信
ORD100062,2026-05-01,S03,P13,1,20.00,银行卡
ORD100063,2026-05-01,S02,P13,1,20.00,会员储值
ORD100064,2026-05-01,S04,P12,2,16.00,支付宝
ORD100065,2026-05-01,S05,P15,1,6.00,微信
ORD100066,2026-05-01,S05,P05,1,34.00,微信
